epoch,acc,loss,val_acc,val_loss
0,0.015693069306930693,4.6656818291062958,0.029252509244585313,4.6981991763097293
1,0.034471947194719472,4.4925327346033779,0.053750660327522452,4.4456477355402866
2,0.048531353135313531,4.418500181708005,0.067683571051241412,4.3104682399429342
3,0.068663366336633669,4.2777734030197951,0.097530375066032751,4.2697067287191155
4,0.092425742574257425,4.134093368061305,0.13219756999471738,4.0446306649365251
5,0.12110561056105611,4.0064199684319322,0.15748811410459587,4.0772924987934784
6,0.14495049504950494,3.8912709691343528,0.17168515583729529,4.0006682686842252
7,0.17029702970297031,3.7594681087578876,0.18852350765979925,4.0414690929969277
8,0.19128712871287129,3.6595290677618273,0.23177496038034864,3.8074274416235596
9,0.21414191419141915,3.5536345002910878,0.25746170100369781,3.7280022834997864
10,0.24062706270627063,3.435745201126577,0.2637348124669836,4.0405335480487983
11,0.26301980198019803,3.3322836303396195,0.30236397253037506,3.6743725810536492
12,0.28683168316831681,3.2130222074230117,0.31735340729001582,3.7814274400126284
13,0.30724422442244226,3.1233158305572597,0.33788959323824619,3.6376693664690332
14,0.32909240924092409,3.0395751222997607,0.32567353407290017,4.0145428707076327
15,0.41374587458745876,2.6146368846582502,0.43746698362387743,3.136135162568193
16,0.43392739273927394,2.4740707317535633,0.45390913893291074,2.9713824897240975
17,0.44904290429042903,2.3936538820357214,0.46275752773375595,2.8806226193172808
18,0.45899339933993399,2.3415050329253226,0.46678552562070785,2.8409394144468751
19,0.4694884488448845,2.2870185331306834,0.47748283148441628,2.7626273677862958
20,0.47836633663366335,2.2432825059957628,0.47616217643951397,2.8708420555489567
21,0.49019801980198019,2.1966245835862144,0.49009508716323297,2.7593706641769322
22,0.49864686468646863,2.1557405536019369,0.49643423137876386,2.7474137704703332
23,0.50597359735973602,2.1209468564056722,0.49848124669836241,2.705815206187872
24,0.51523102310231028,2.0819095594379373,0.4917459059693608,2.7957642547199795
25,0.52268976897689767,2.0504872085552406,0.51254622292657159,2.6775731018853137
26,0.53107260726072603,2.0094633705122242,0.50772583201267829,2.7546608525407548
27,0.54235973597359732,1.9679271663336864,0.52766772319070254,2.6062428602703775
28,0.58600660066006605,1.7845399836581139,0.54160063391442159,2.5158008249487374
29,0.598019801980198,1.7296815427665664,0.5490623349181194,2.540300976675903
30,0.60499999999999998,1.695598596323638,0.55236397253037506,2.4940565243693991
31,0.6104785478547855,1.6674831396154444,0.55289223454833603,2.4942359814584663
